tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err
206466531,410.01,PC,56.815204,-52.98515,9.992,0.018,1384.6552,0.00246,1.42748,0.00011,1.839,0.144
100990000,411.01,PC,54.819851,-42.762575,7.74,0.019,1386.18895,0.00691,9.57219,0.00255,3.304,0.765
7624182,412.01,PC,64.311397,-38.844151,8.768,0.019,1411.822,0.00129,1.10801,0.00011,1.368,0.142
170634116,413.01,PC,66.370903,-30.600444,9.675,0.018,1412.89287,0.00026,3.66242,7.00E-05,3.614,0.063
325680697,414.01,PC,36.853348,-12.038913,9.125,0.02,1411.51868,0.00038,1.82487,4.00E-05,1.83,0.05
152476657,415.01,PC,62.616051,-45.898221,10.551,0.018,1411.72779,0.00117,3.61194,0.00031,3.157,0.109
49899799,416.01,PC,48.854273,-2.175283,8.259,0.018,1413.19546,0.00033,7.01152,0.00016,4.588,0.062
339733013,417.01,PC,110.852026,-58.696747,10.038,0.018,1328.3763,0.00436,5.62145,0.00035,2.192,0.324
178284730,418.01,PC,60.385614,-20.451086,10.261,0.019,1412.69841,0.00033,2.23595,4.00E-05,1.32,0.118
279251651,419.01,PC,104.1553,-59.1833,10.521,0.04,1354.46663,0.00143,0.40387,1.00E-05,1.022,0.096
