A_DMAX,B_DMAX,DQUALITY,fitsfile
45.8603020560156,47.79430975802927,2048,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019086195934-s0010-2-3-0140-s_ffic.fits
45.86200116206396,47.78974296628871,2048,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019086202934-s0010-2-3-0140-s_ffic.fits
45.865082132763746,47.79980832652973,2048,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019086205934-s0010-2-3-0140-s_ffic.fits
45.86466465823446,47.7960238241983,2048,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019086212934-s0010-2-3-0140-s_ffic.fits
45.86750581533943,47.80298029898336,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019086215934-s0010-2-3-0140-s_ffic.fits
45.86880073619204,47.80017975214582,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019086222934-s0010-2-3-0140-s_ffic.fits
45.87263148295608,47.789971444415414,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019086225934-s0010-2-3-0140-s_ffic.fits
45.86962932305357,47.80266692569171,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019086232934-s0010-2-3-0140-s_ffic.fits
45.87278788737558,47.800637050266914,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019086235934-s0010-2-3-0140-s_ffic.fits
45.87058076810672,47.8063082512416,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087002934-s0010-2-3-0140-s_ffic.fits
45.87210961487415,47.79805382241102,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087005934-s0010-2-3-0140-s_ffic.fits
45.87551904475583,47.792789065307716,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087012934-s0010-2-3-0140-s_ffic.fits
45.87528731115833,47.79224741095072,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087015934-s0010-2-3-0140-s_ffic.fits
45.8762704736846,47.79486006638763,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087022934-s0010-2-3-0140-s_ffic.fits
45.87676265736252,47.80020039561941,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087025934-s0010-2-3-0140-s_ffic.fits
45.877956010379876,47.7920539845926,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087032934-s0010-2-3-0140-s_ffic.fits
45.87633940305068,47.79286601712852,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087035934-s0010-2-3-0140-s_ffic.fits
45.880442281044566,47.79669522416202,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087042934-s0010-2-3-0140-s_ffic.fits
45.88234593555251,47.797924970430245,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087045934-s0010-2-3-0140-s_ffic.fits
45.88247246165679,47.79619314938441,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087052934-s0010-2-3-0140-s_ffic.fits
45.88352463879744,47.79807606276245,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087055934-s0010-2-3-0140-s_ffic.fits
45.883460707207064,47.79794803224286,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087062934-s0010-2-3-0140-s_ffic.fits
45.88408333901293,47.798210004621296,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087065934-s0010-2-3-0140-s_ffic.fits
45.88374317123612,47.80133009594556,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087072934-s0010-2-3-0140-s_ffic.fits
45.88535454464352,47.801101016033044,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087075934-s0010-2-3-0140-s_ffic.fits
45.88556178949352,47.79961762964683,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087082934-s0010-2-3-0140-s_ffic.fits
45.887403776095766,47.80199122682632,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087085934-s0010-2-3-0140-s_ffic.fits
45.88705076523149,47.8016612370775,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087092934-s0010-2-3-0140-s_ffic.fits
45.88711175094079,47.803001353813215,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087095934-s0010-2-3-0140-s_ffic.fits
45.886614093501294,47.80306559412065,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087102934-s0010-2-3-0140-s_ffic.fits
45.887094095687644,47.80469862437508,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087105934-s0010-2-3-0140-s_ffic.fits
45.88822520798908,47.80616434437138,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087112934-s0010-2-3-0140-s_ffic.fits
45.88379259596263,47.80546610934368,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087115934-s0010-2-3-0140-s_ffic.fits
45.88872571246134,47.80637833827382,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087122934-s0010-2-3-0140-s_ffic.fits
45.8869361051668,47.78358811283215,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087125934-s0010-2-3-0140-s_ffic.fits
45.888161858275794,47.78351272688292,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087132934-s0010-2-3-0140-s_ffic.fits
45.889281009307865,47.78455172573149,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087135934-s0010-2-3-0140-s_ffic.fits
45.889444240623334,47.78558972180622,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087142934-s0010-2-3-0140-s_ffic.fits
45.88933509876529,47.786208121923664,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087145934-s0010-2-3-0140-s_ffic.fits
45.890082502278005,47.786292225851184,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087152934-s0010-2-3-0140-s_ffic.fits
45.890356619622594,47.78752896487367,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087155934-s0010-2-3-0140-s_ffic.fits
45.89092974798041,47.786349386919255,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087162934-s0010-2-3-0140-s_ffic.fits
45.89049031416084,47.788588116940446,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087165934-s0010-2-3-0140-s_ffic.fits
45.89079768831289,47.78973132553995,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087172934-s0010-2-3-0140-s_ffic.fits
45.89019564641717,47.78874657146525,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087175934-s0010-2-3-0140-s_ffic.fits
45.891573902467826,47.78873929043414,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087182934-s0010-2-3-0140-s_ffic.fits
45.89170449889093,47.791342238268044,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087185934-s0010-2-3-0140-s_ffic.fits
45.89195867632816,47.79112630142379,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087192934-s0010-2-3-0140-s_ffic.fits
45.89267947963606,47.79092464158657,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087195934-s0010-2-3-0140-s_ffic.fits
45.8931545887242,47.790282501319325,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087202934-s0010-2-3-0140-s_ffic.fits
45.89270550947913,47.79106106573238,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087205934-s0010-2-3-0140-s_ffic.fits
45.893204395814905,47.79111149970163,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087212934-s0010-2-3-0140-s_ffic.fits
45.892748177074736,47.79306020298213,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087215934-s0010-2-3-0140-s_ffic.fits
45.893957909033816,47.79424760066013,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087222934-s0010-2-3-0140-s_ffic.fits
45.89361160861711,47.79335303546429,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087225934-s0010-2-3-0140-s_ffic.fits
45.89352527301003,47.79380327552121,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087232934-s0010-2-3-0140-s_ffic.fits
45.89361648240106,47.79470281958777,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019087235934-s0010-2-3-0140-s_ffic.fits
45.893533914461045,47.79512583410428,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088002934-s0010-2-3-0140-s_ffic.fits
45.89391077614118,47.794507276224294,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088005934-s0010-2-3-0140-s_ffic.fits
45.89409806088031,47.79304226456043,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088012934-s0010-2-3-0140-s_ffic.fits
45.894433286820686,47.7938232911622,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088015934-s0010-2-3-0140-s_ffic.fits
45.89331477367318,47.79315350505158,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088022934-s0010-2-3-0140-s_ffic.fits
45.894249422642815,47.79455318258863,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088025934-s0010-2-3-0140-s_ffic.fits
45.894849190151604,47.79504262670059,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088032934-s0010-2-3-0140-s_ffic.fits
45.89430388794983,47.79657089119951,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088035934-s0010-2-3-0140-s_ffic.fits
45.894220222262675,47.79754760063315,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088042934-s0010-2-3-0140-s_ffic.fits
45.89477963516572,47.796718327257395,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088045934-s0010-2-3-0140-s_ffic.fits
45.89438284494179,47.7977326016553,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088052934-s0010-2-3-0140-s_ffic.fits
45.89512437578139,47.79776516249194,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088055934-s0010-2-3-0140-s_ffic.fits
45.8949787279613,47.79713179509713,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088062934-s0010-2-3-0140-s_ffic.fits
45.89548004064466,47.798152955742694,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088065934-s0010-2-3-0140-s_ffic.fits
45.894794198685645,47.79767048510439,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088072934-s0010-2-3-0140-s_ffic.fits
45.89548291789504,47.797660238380104,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088075934-s0010-2-3-0140-s_ffic.fits
45.89443386263861,47.797640674288914,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088082934-s0010-2-3-0140-s_ffic.fits
45.89527228855559,47.79781408796089,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088085934-s0010-2-3-0140-s_ffic.fits
45.895437935204995,47.79788035612603,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088092934-s0010-2-3-0140-s_ffic.fits
45.89602249842437,47.79877100468832,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088095934-s0010-2-3-0140-s_ffic.fits
45.89567372848353,47.7986886922522,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088102934-s0010-2-3-0140-s_ffic.fits
45.89555077651357,47.79948607217261,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088105934-s0010-2-3-0140-s_ffic.fits
45.894975845669705,47.79873482300172,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088112934-s0010-2-3-0140-s_ffic.fits
45.89510129515861,47.800094793207904,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088115934-s0010-2-3-0140-s_ffic.fits
45.89493949381688,47.80023394419868,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088122934-s0010-2-3-0140-s_ffic.fits
45.894519247392736,47.79915899642515,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088125934-s0010-2-3-0140-s_ffic.fits
45.89469069766403,47.799894151484295,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088132934-s0010-2-3-0140-s_ffic.fits
45.89543960207993,47.79934519234007,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088135934-s0010-2-3-0140-s_ffic.fits
45.89536283650523,47.800957033354734,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088142934-s0010-2-3-0140-s_ffic.fits
45.895142460516354,47.800164952580644,0,/nfs/phtess2/ar0/TESS/FFI/CAL/sector-10/tess2019088145934-s0010-2-3-0140-s_ffic.fits
